FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160312;0000;11,881;;;
160313;0000;8,99303;;;
160314;0000;7,89236;;;
160315;0000;8,07553;;;
160316;0000;12,5636;;;
160317;0000;9,30981;;;
160318;0000;11,8697;;;
160319;0000;6,78328;;;
160320;0000;8,24878;;;
160321;0000;6,85263;;;
160322;0000;6,55241;;;
160323;0000;6,83508;;;
160324;0000;10,0393;;;
160325;0000;22,2633;;;
160326;0000;15,3776;;;
160327;0000;12,9757;;;
160328;0000;19,6387;;;
160329;0000;28,3983;;;
160330;0000;13,9282;;;
160331;0000;5,54253;;;
160401;0000;13,2229;;;
160402;0000;22,7349;;;
160403;0000;21,3676;;;
160404;0000;28,4446;;;
160405;0000;36,0216;;;
160406;0000;24,0347;;;
160407;0000;22,5878;;;
160408;0000;31,1417;;;
160409;0000;40,2224;;;
160410;0000;23,9998;;;
160411;0000;31,2789;;;
160412;0000;34,9612;;;
160413;0000;17,7743;;;
160414;0000;5,34378;;;
160415;0000;5,48291;;;
160416;0000;16,4712;;;
160417;0000;33,2188;;;
160418;0000;81,7432;;;
160419;0000;25,0945;;;
160420;0000;12,4323;;;
160421;0000;61,5676;;;
160422;0000;23,9945;;;
160423;0000;16,7606;;;
160424;0000;52,9312;;;
160425;0000;73,9253;;;
160426;0000;65,5114;;;
160427;0000;66,1537;;;
160428;0000;104,164;;;
160429;0000;93,3483;;;
160430;0000;99,8062;;;
160501;0000;53,3541;;;
160502;0000;43,1129;;;
160503;0000;69,4769;;;
160504;0000;70,1029;;;
160505;0000;87,5853;;;
160506;0000;84,9161;;;
160507;0000;81,9349;;;
160508;0000;53,0768;;;
160509;0000;81,1891;;;
160510;0000;109,006;;;
160511;0000;32,7442;;;
160512;0000;32,3379;;;
160513;0000;72,8607;;;
160514;0000;44,7791;;;
160515;0000;41,4638;;;
160516;0000;91,7267;;;
160517;0000;85,1995;;;
160518;0000;59,8287;;;
160519;0000;70,0782;;;
160520;0000;105,497;;;
160521;0000;62,6978;;;
160522;0000;127,401;;;
160523;0000;126,769;;;
160524;0000;39,3875;;;
160525;0000;23,105;;;
160526;0000;48,8716;;;
160527;0000;105,189;;;
160528;0000;61,8349;;;
160529;0000;49,1216;;;
160530;0000;52,7863;;;
160531;0000;53,0496;;;
160601;0000;44,4296;;;
160602;0000;91,7163;;;
160603;0000;44,9521;;;
160604;0000;34,2908;;;
160605;0000;59,1025;;;
160606;0000;39,6126;;;
160607;0000;82,9187;;;
160608;0000;51,9562;;;
160609;0000;69,2859;;;
160610;0000;154,447;;;
160611;0000;123,572;;;
160612;0000;163,31;;;
160613;0000;138,37;;;
160614;0000;71,5033;;;
160615;0000;96,5183;;;
160616;0000;146,871;;;
160617;0000;144,804;;;
160618;0000;148,537;;;
160619;0000;105,065;;;
160620;0000;69,4708;;;
160621;0000;142,896;;;
160622;0000;73,0616;;;
160623;0000;85,3004;;;
160624;0000;95,4033;;;
160625;0000;52,0742;;;
160626;0000;125,55;;;
160627;0000;117,979;;;
160628;0000;115,482;;;
160629;0000;87,8408;;;
160630;0000;69,9703;;;
160701;0000;132,408;;;
160702;0000;128,159;;;
160703;0000;215,312;;;
160704;0000;207,508;;;
160705;0000;109,457;;;
160706;0000;34,6367;;;
160707;0000;69,7617;;;
160708;0000;44,1008;;;
160709;0000;51,0496;;;
160710;0000;18,625;;;
160711;0000;25,3463;;;
160712;0000;64,2932;;;
160713;0000;27,8774;;;
160714;0000;41,0192;;;
160715;0000;53,4846;;;
160716;0000;97,6108;;;
160717;0000;43,3833;;;
160718;0000;73,2325;;;
160719;0000;71,0195;;;
160720;0000;46,0516;;;
160721;0000;49,1471;;;
160722;0000;35,2398;;;
160723;0000;34,0787;;;
160724;0000;43,0129;;;
160725;0000;39,6669;;;
160726;0000;106,735;;;
160727;0000;89,9142;;;
160728;0000;38,7542;;;
160729;0000;39,4141;;;
160730;0000;32,8267;;;
160731;0000;26,3223;;;
160801;0000;68,0023;;;
160802;0000;88,9229;;;
160803;0000;38,3552;;;
160804;0000;42,0883;;;
160805;0000;31,3057;;;
160806;0000;14,0751;;;
160807;0000;25,8124;;;
160808;0000;104,432;;;
160809;0000;102,031;;;
160810;0000;58,7817;;;
160811;0000;40,5194;;;
160812;0000;46,0358;;;
160813;0000;50,8158;;;
160814;0000;30,0074;;;
160815;0000;20,1464;;;
160816;0000;17,1795;;;
160817;0000;14,4043;;;
160818;0000;22,8041;;;
160819;0000;38,5468;;;
160820;0000;79,464;;;
160821;0000;80,2271;;;
160822;0000;73,814;;;
160823;0000;32,8729;;;
160824;0000;20,48;;;
160825;0000;15,6625;;;
160826;0000;67,2882;;;
160827;0000;85,7625;;;
160828;0000;58,0758;;;
160829;0000;27,5392;;;
160830;0000;32,4772;;;
160831;0000;66,918;;;
160901;0000;128,49;;;
160902;0000;50,3793;;;
160903;0000;7,87759;;;
160904;0000;21,5646;;;
160905;0000;66,6448;;;
160906;0000;57,8513;;;
160907;0000;44,5692;;;
160908;0000;41,75;;;
160909;0000;24,013;;;
160910;0000;34,5032;;;
160911;0000;21,0965;;;
160912;0000;7,4072;;;
160913;0000;32,4391;;;
160914;0000;45,6283;;;
160915;0000;40,0078;;;
160916;0000;56,4908;;;
160917;0000;38,6525;;;
160918;0000;31,6424;;;
160919;0000;22,8918;;;
160920;0000;24,4198;;;
160921;0000;17,5881;;;
160922;0000;41,9171;;;
160923;0000;26,6682;;;
160924;0000;28,8436;;;
160925;0000;23,0251;;;
160926;0000;23,9372;;;
160927;0000;18,3369;;;
160928;0000;31,5425;;;
160929;0000;6,98833;;;
160930;0000;10,0078;;;
161001;0000;23,4249;;;
161002;0000;21,0956;;;
161003;0000;23,3935;;;
161004;0000;21,1687;;;
